,January,Februray,March,April,May,June,July,August,September,October,November,December
Eastern Temperate Forests,1102066,1968605,3191276,2395261,1094900,512442,452313,187822,297940,191624,392685,301729
Great Plains,659598,1182902,5146538,10974668,2575970,1137977,2084286,1786083,392567,283398,270538,184345
Marine West Coast Forest,0,0,0,0,3642,41161,18578,9687,26822,0,0,0
Mediterranean California,6028,20451,8253,18581,205079,689272,1297319,670162,643144,1517156,62418,307952
North American Deserts,38038,40801,109641,699565,423612,3185764,8790229,6035736,1281019,138277,18797,11194
Northern Forests,5491,0,24267,198929,176037,8966,34994,105427,17122,41381,1349,0
Northwestern Forested Mountains,8685,5044,33550,48203,244535,2749948,8572450,8374177,1166872,261553,13437,57330
Southern Semiarid Highlands,2055,17234,100091,137485,535707,665689,69652,20893,0,5706,0,1834
Temperate Sierras,2207,20153,59412,295300,1702219,2032045,496798,152960,69469,68581,57138,12191
Tropical Wet Forests,135229,130480,96942,172377,324077,155734,41014,76673,6235,4729,29870,23702
